group,gap,se,ci_lower,ci_upper,n
1,-0.18875033869494554,0.01189257637543775,-0.21205978839080353,-0.16544088899908754,12019
2,-0.2047985126670997,0.029354965005671366,-0.2623342440782156,-0.14726278125598383,1953
4,-0.1364919788424341,0.010325385114255159,-0.15672973366637422,-0.116254224018494,17142
5,-0.19578306246951907,0.015159712494018972,-0.22549609895779626,-0.16607002598124188,7197
6,-0.14185952923055226,0.0045876002835570345,-0.15085122578632404,-0.13286783267478047,105616
8,-0.16018304010066006,0.010321154177510204,-0.18041250228858005,-0.13995357791274007,16157
9,-0.18388757197508154,0.013624821268465044,-0.21059222166127303,-0.15718292228889005,9932
10,-0.13649215066611425,0.025882654738244422,-0.18722215395307332,-0.08576214737915519,2441
11,-0.12075757238928905,0.02829461093729229,-0.17621500982638194,-0.06530013495219616,2510
12,-0.13607200638910075,0.005965735411794936,-0.14776484779621882,-0.12437916498198268,48982
13,-0.16062853661921808,0.008403937428480685,-0.17710025397904022,-0.14415681925939594,27238
15,-0.1656408185104991,0.01971800791420877,-0.2042881140223483,-0.1269935229986499,4009
16,-0.221165942016015,0.02007729184711559,-0.2605174340363616,-0.18181444999566845,3986
17,-0.20529102042965885,0.007178617605483427,-0.21936111093640637,-0.19122092992291134,36680
18,-0.24222428050258127,0.009424556769652351,-0.26069641177109987,-0.22375214923406267,18144
19,-0.14641551723677218,0.013290873943172072,-0.17246563016538943,-0.12036540430815493,8591
20,-0.22555762231104665,0.0145778711922956,-0.254130249847946,-0.19698499477414727,7656
21,-0.19092153459286182,0.011747428130800503,-0.2139464937292308,-0.16789657545649284,11666
22,-0.28419385772764716,0.01313577679832024,-0.3099399802523548,-0.2584477352029395,11104
23,-0.1285748468545747,0.02159865303338518,-0.17090820680000965,-0.08624148690913977,3054
24,-0.14399890284460634,0.010189290984577935,-0.1639699131743791,-0.1240278925148336,17811
25,-0.15929578005573444,0.009526116930378229,-0.17796696923927577,-0.14062459087219312,20312
26,-0.19397842484546007,0.008237498288023962,-0.21012392148998704,-0.1778329282009331,26040
27,-0.13910746761741472,0.010247488907533233,-0.15919254587617984,-0.11902238935864957,15346
28,-0.21909714695853708,0.015567555982921425,-0.24960955668506307,-0.18858473723201108,6936
29,-0.1864150639652008,0.010004711923688587,-0.20602429933563043,-0.16680582859477117,16608
30,-0.23990965703451875,0.025338386975214598,-0.28957289550593934,-0.19024641856309815,2387
31,-0.19563847691788835,0.01697846260821308,-0.228916263629986,-0.16236069020579072,5184
32,-0.13597005172236823,0.014637017425483661,-0.1646586058763162,-0.10728149756842026,7790
33,-0.1566852262586471,0.020372256315615827,-0.1966148486372541,-0.11675560388004007,3751
34,-0.19107432180628045,0.009261074204746629,-0.20922602724758385,-0.17292261636497705,25628
35,-0.18531911378882954,0.0201776952004067,-0.22486739638162667,-0.1457708311960324,4691
36,-0.11084556494650447,0.006225813344127933,-0.12304815910099522,-0.09864297079201371,54823
37,-0.1554131439419364,0.00815900574428904,-0.17140479520074292,-0.13942149268312987,26814
38,-0.1495749495032199,0.025712542441942828,-0.19997153268942783,-0.09917836631701196,2054
39,-0.17871329577015896,0.0072730116804508365,-0.1929683986638426,-0.1644581928764753,32129
40,-0.26383605866795984,0.013627709323037796,-0.2905463689411139,-0.23712574839480577,9403
41,-0.15526446886392758,0.01272891562475074,-0.18021314348843903,-0.13031579423941614,11060
42,-0.1853582326337744,0.007203051522377312,-0.19947621361763393,-0.17124025164991488,34440
44,-0.175374188818832,0.02457112302773335,-0.22353358995318934,-0.12721478768447464,2831
45,-0.18114616656645696,0.011459629198576205,-0.20360703979566633,-0.1586852933372476,12415
46,-0.10836779151296944,0.023577894908408836,-0.15458046553345076,-0.062155117492488116,2237
47,-0.17642423046823175,0.00992937400895512,-0.19588580352578377,-0.15696265741067972,17244
48,-0.2153573417377503,0.005276782613618372,-0.22569983566044233,-0.2050148478150583,72498
49,-0.30156270522844597,0.014422992225026396,-0.3298317699894977,-0.27329364046739424,7893
50,-0.07801168135128897,0.029340225212892698,-0.13551852276855866,-0.020504839934019282,1646
51,-0.1815926330611538,0.008955411713575237,-0.19914524001976128,-0.16404002610254634,24878
53,-0.21110073045372924,0.009435017092588779,-0.22959336395520324,-0.19260809695225523,20726
54,-0.23143097349187058,0.01933512250513825,-0.2693278136019416,-0.19353413338179962,4393
55,-0.18892937759063919,0.009672357684434935,-0.20788719865213165,-0.16997155652914672,16178
56,-0.2368465036078254,0.03334394024763856,-0.30220062649319696,-0.17149238072245382,1577
