group,gap,se,ci_lower,ci_upper,n
construction,-0.05956987905699118,0.00839031020685397,-0.07601488706242496,-0.043124871051557406,54263
education_health,-0.19282260552049604,0.0032353438989847264,-0.1991638795625061,-0.18648133147848597,232033
government,-0.1547488465485475,0.005135839158600073,-0.16481509129940364,-0.14468260179769138,52148
information_finance,-0.309066998404579,0.005932717915536024,-0.3206951255190296,-0.2974388712901284,63827
leisure_hospitality,-0.13653966770153564,0.005683336577640956,-0.14767900739371193,-0.12540032800935935,57164
manufacturing,-0.14704740791251433,0.004736427844462299,-0.15633080648766043,-0.13776400933736824,97837
military,-0.03752067671266486,0.01651005274773085,-0.06988038009821733,-0.005160973327112392,8262
natural_resources,-0.17236668478017744,0.011059110024474334,-0.19404254042814714,-0.15069082913220774,22901
other,-0.33766152607517136,0.009395832868231755,-0.3560773584969056,-0.31924569365343713,17987
other_services,-0.13257496388474058,0.007394895847711909,-0.14706895974625592,-0.11808096802322524,32689
professional_services,-0.20683548394089057,0.004524442090065318,-0.2157033904374186,-0.19796757744436255,115617
trade,-0.201185777243058,0.0043840915792018025,-0.20977859673829352,-0.19259295774782248,104977
transport_utilities,-0.17178959592527965,0.007122827902189005,-0.1857503386135701,-0.1578288532369892,41192
