sample,outcome,model,term,coef,se,pvalue,n_obs,r_squared,pct_effect
married_women_negative_control,log_hourly_wage_real,L0_raw,lesbian_married,0.20903627561429394,0.005271550812021306,0.0,2724794,0.0005767433819102719,23.24897070405696
married_women_negative_control,log_hourly_wage_real,L1_demographics,lesbian_married,0.18452930968308118,0.004675564009295853,0.0,2724794,0.21467756642227098,20.265223012402565
married_women_negative_control,log_hourly_wage_real,L2_job_sorting,lesbian_married,0.10052005968601094,0.004142201314839042,4.483286614830587e-130,2724794,0.38857052548100735,10.574582239561314
married_women_negative_control,log_hourly_wage_real,L3_work_arrangement,lesbian_married,0.10608979714470967,0.0041377265942709575,5.741648851759479e-145,2724794,0.39010756933178736,11.192171941920392
married_women_negative_control,log_hourly_wage_real,L4_reproductive,lesbian_married,0.11524029696421186,0.0041397555550825626,1.6145384853892707e-170,2724794,0.39093960575106057,12.214305274577342
married_women_negative_control,log_hourly_wage_real,L5_onet_context,lesbian_married,0.11520784398212508,0.004152562187417172,2.186830723025522e-169,2709519,0.39159816277903736,12.210663644829566
married_women_negative_control,log_annual_earnings_real,L0_raw,lesbian_married,0.3708368594438575,0.007616360089530028,0.0,2724611,0.0008693385764610984,44.89466721379398
married_women_negative_control,log_annual_earnings_real,L1_demographics,lesbian_married,0.33850411365996375,0.006948733083012903,0.0,2724611,0.16929677477976268,40.28475197796089
married_women_negative_control,log_annual_earnings_real,L2_job_sorting,lesbian_married,0.20699382811406328,0.006022888855087691,8.66216366518374e-259,2724611,0.3809178617239306,22.99749804920419
married_women_negative_control,log_annual_earnings_real,L3_work_arrangement,lesbian_married,0.12574945739962345,0.0051976028561984,2.6721695169531733e-129,2724611,0.5391171674382323,13.399801787639998
married_women_negative_control,log_annual_earnings_real,L4_reproductive,lesbian_married,0.12674256250144456,0.0052023533264213976,4.4096425714555173e-131,2724611,0.5393561129820864,13.512475648573407
married_women_negative_control,log_annual_earnings_real,L5_onet_context,lesbian_married,0.12595424676641953,0.005218084408871919,1.029363987261391e-128,2709339,0.539975937886742,13.423027239324469
