section,group,comparison_group,metric,value,n_obs,weighted_n
summary,lesbian_married,,n_obs,19932.0,19932,2078935.0
summary,lesbian_married,,weighted_n,2078935.0,19932,2078935.0
summary,lesbian_married,,mean_hourly_wage,36.710890405295295,19932,2078935.0
summary,lesbian_married,,mean_annual_earnings,70394.9056545318,19932,2078935.0
summary,lesbian_married,,mean_usual_hours_week,40.75809825704027,19932,2078935.0
summary,lesbian_married,,share_recent_birth,0.02932511117471205,19932,2078935.0
summary,lesbian_married,,share_recent_marriage,1.0,19932,2078935.0
summary,lesbian_married,,share_own_child_under6,0.16439523121213506,19932,2078935.0
summary,women_opposite_sex_married,,n_obs,0.0,0,0.0
summary,women_opposite_sex_married,,weighted_n,0.0,0,0.0
summary,women_opposite_sex_married,,mean_hourly_wage,,0,0.0
summary,women_opposite_sex_married,,mean_annual_earnings,,0,0.0
summary,women_opposite_sex_married,,mean_usual_hours_week,,0,0.0
summary,women_opposite_sex_married,,share_recent_birth,,0,0.0
summary,women_opposite_sex_married,,share_recent_marriage,,0,0.0
summary,women_opposite_sex_married,,share_own_child_under6,,0,0.0
summary,gay_married,,n_obs,16726.0,16726,1733971.0
summary,gay_married,,weighted_n,1733971.0,16726,1733971.0
summary,gay_married,,mean_hourly_wage,47.349867744192785,16726,1733971.0
summary,gay_married,,mean_annual_earnings,95821.8919391893,16726,1733971.0
summary,gay_married,,mean_usual_hours_week,42.232413344859864,16726,1733971.0
summary,gay_married,,share_recent_birth,0.0,16726,1733971.0
summary,gay_married,,share_recent_marriage,1.0,16726,1733971.0
summary,gay_married,,share_own_child_under6,0.0,16726,1733971.0
summary,men_opposite_sex_married,,n_obs,0.0,0,0.0
summary,men_opposite_sex_married,,weighted_n,0.0,0,0.0
summary,men_opposite_sex_married,,mean_hourly_wage,,0,0.0
summary,men_opposite_sex_married,,mean_annual_earnings,,0,0.0
summary,men_opposite_sex_married,,mean_usual_hours_week,,0,0.0
summary,men_opposite_sex_married,,share_recent_birth,,0,0.0
summary,men_opposite_sex_married,,share_recent_marriage,,0,0.0
summary,men_opposite_sex_married,,share_own_child_under6,,0,0.0
comparison,lesbian_married,women_opposite_sex_married,hourly_wage_gap_dollars,,19932,2078935.0
comparison,lesbian_married,women_opposite_sex_married,hourly_wage_gap_pct,,19932,2078935.0
comparison,lesbian_married,women_opposite_sex_married,annual_earnings_gap_dollars,,19932,2078935.0
comparison,lesbian_married,women_opposite_sex_married,annual_earnings_gap_pct,,19932,2078935.0
comparison,lesbian_married,women_opposite_sex_married,hours_gap,,19932,2078935.0
comparison,lesbian_married,gay_married,hourly_wage_gap_dollars,-10.63897733889749,19932,2078935.0
comparison,lesbian_married,gay_married,hourly_wage_gap_pct,-22.46886389709569,19932,2078935.0
comparison,lesbian_married,gay_married,annual_earnings_gap_dollars,-25426.986284657498,19932,2078935.0
comparison,lesbian_married,gay_married,annual_earnings_gap_pct,-26.535675480916225,19932,2078935.0
comparison,lesbian_married,gay_married,hours_gap,-1.4743150878195976,19932,2078935.0
comparison,lesbian_married,men_opposite_sex_married,hourly_wage_gap_dollars,,19932,2078935.0
comparison,lesbian_married,men_opposite_sex_married,hourly_wage_gap_pct,,19932,2078935.0
comparison,lesbian_married,men_opposite_sex_married,annual_earnings_gap_dollars,,19932,2078935.0
comparison,lesbian_married,men_opposite_sex_married,annual_earnings_gap_pct,,19932,2078935.0
comparison,lesbian_married,men_opposite_sex_married,hours_gap,,19932,2078935.0
