stratifier,stratum,metric,value,n_obs
overall,all,male_p90_p10,1.8231059476136995,9734944
overall,all,female_p90_p10,1.7466078154174336,9734944
overall,all,male_p95_p50,1.2330887268262,9734944
overall,all,female_p95_p50,1.1667035299363744,9734944
overall,all,male_top10_share,0.12227189571120295,9734944
overall,all,female_top10_share,0.07569161778591468,9734944
overall,all,male_top5_share,0.06297862329100551,9734944
overall,all,female_top5_share,0.03632641166501466,9734944
reproductive_stage,childless_other_partnered,male_p90_p10,1.7429693050586228,22902
reproductive_stage,childless_other_partnered,female_p90_p10,1.5454742110154198,22902
reproductive_stage,childless_other_partnered,male_p95_p50,1.3011431116110685,22902
reproductive_stage,childless_other_partnered,female_p95_p50,1.0885848483546066,22902
reproductive_stage,childless_other_partnered,male_top10_share,0.12758191315431203,22902
reproductive_stage,childless_other_partnered,female_top10_share,0.06207558060573136,22902
reproductive_stage,childless_other_partnered,male_top5_share,0.06468740790176371,22902
reproductive_stage,childless_other_partnered,female_top5_share,0.029973440777460877,22902
reproductive_stage,childless_recently_married,male_p90_p10,1.8322604774033682,2956274
reproductive_stage,childless_recently_married,female_p90_p10,1.6772819209878609,2956274
reproductive_stage,childless_recently_married,male_p95_p50,1.1776767003672006,2956274
reproductive_stage,childless_recently_married,female_p95_p50,1.1189245612506933,2956274
reproductive_stage,childless_recently_married,male_top10_share,0.12379099414883164,2956274
reproductive_stage,childless_recently_married,female_top10_share,0.07428969945382796,2956274
reproductive_stage,childless_recently_married,male_top5_share,0.06265918840334958,2956274
reproductive_stage,childless_recently_married,female_top5_share,0.03634360186993472,2956274
reproductive_stage,childless_unpartnered,male_p90_p10,1.7354500301891354,2216122
reproductive_stage,childless_unpartnered,female_p90_p10,1.6666511332238523,2216122
reproductive_stage,childless_unpartnered,male_p95_p50,1.1496580594693229,2216122
reproductive_stage,childless_unpartnered,female_p95_p50,1.0884533583726062,2216122
reproductive_stage,childless_unpartnered,male_top10_share,0.10198188400624891,2216122
reproductive_stage,childless_unpartnered,female_top10_share,0.09724200059792072,2216122
reproductive_stage,childless_unpartnered,male_top5_share,0.05249195024344911,2216122
reproductive_stage,childless_unpartnered,female_top5_share,0.0466339679492769,2216122
reproductive_stage,mother_6_17_only,male_p90_p10,0.0,1345093
reproductive_stage,mother_6_17_only,female_p90_p10,1.7799501515297358,1345093
reproductive_stage,mother_6_17_only,male_p95_p50,0.0,1345093
reproductive_stage,mother_6_17_only,female_p95_p50,1.2237754316221152,1345093
reproductive_stage,mother_6_17_only,male_top10_share,0.0,1345093
reproductive_stage,mother_6_17_only,female_top10_share,0.10048248959824654,1345093
reproductive_stage,mother_6_17_only,male_top5_share,0.0,1345093
reproductive_stage,mother_6_17_only,female_top5_share,0.05001283263451099,1345093
reproductive_stage,mother_mixed_or_other,male_p90_p10,1.8063372911488798,2318307
reproductive_stage,mother_mixed_or_other,female_p90_p10,1.597743948523029,2318307
reproductive_stage,mother_mixed_or_other,male_p95_p50,1.2863204996833568,2318307
reproductive_stage,mother_mixed_or_other,female_p95_p50,1.093184208316603,2318307
reproductive_stage,mother_mixed_or_other,male_top10_share,0.10520867485106808,2318307
reproductive_stage,mother_mixed_or_other,female_top10_share,0.02074792615752588,2318307
reproductive_stage,mother_mixed_or_other,male_top5_share,0.05244773555049933,2318307
reproductive_stage,mother_mixed_or_other,female_top5_share,0.01127767445867264,2318307
reproductive_stage,mother_under6,male_p90_p10,1.8457266128883196,662428
reproductive_stage,mother_under6,female_p90_p10,1.846374291091593,662428
reproductive_stage,mother_under6,male_p95_p50,1.27296563258058,662428
reproductive_stage,mother_under6,female_p95_p50,1.2330345202155848,662428
reproductive_stage,mother_under6,male_top10_share,0.09777564410305649,662428
reproductive_stage,mother_under6,female_top10_share,0.1000017205972108,662428
reproductive_stage,mother_under6,male_top5_share,0.06345015202432389,662428
reproductive_stage,mother_under6,female_top5_share,0.0500150392941388,662428
reproductive_stage,recent_birth,male_p90_p10,1.5324768355712735,213818
reproductive_stage,recent_birth,female_p90_p10,1.8975910384791668,213818
reproductive_stage,recent_birth,male_p95_p50,1.2039727475835322,213818
reproductive_stage,recent_birth,female_p95_p50,1.241285828095962,213818
reproductive_stage,recent_birth,male_top10_share,0.0999784529196294,213818
reproductive_stage,recent_birth,female_top10_share,0.10005197544309742,213818
reproductive_stage,recent_birth,male_top5_share,0.03932342167636285,213818
reproductive_stage,recent_birth,female_top5_share,0.05001945155264757,213818
fertility_risk_quartile,missing,male_p90_p10,1.8231059476136995,7323511
fertility_risk_quartile,missing,female_p90_p10,1.8229335181791773,7323511
fertility_risk_quartile,missing,male_p95_p50,1.2330887268262,7323511
fertility_risk_quartile,missing,female_p95_p50,1.2285801698662042,7323511
fertility_risk_quartile,missing,male_top10_share,0.11144305803352325,7323511
fertility_risk_quartile,missing,female_top10_share,0.07485962387242744,7323511
fertility_risk_quartile,missing,male_top5_share,0.05615382630247854,7323511
fertility_risk_quartile,missing,female_top5_share,0.03640585654004254,7323511
job_rigidity_quartile,Q1,male_p90_p10,1.7261667656367026,2415808
job_rigidity_quartile,Q1,female_p90_p10,1.6627425504828772,2415808
job_rigidity_quartile,Q1,male_p95_p50,1.1781546955773106,2415808
job_rigidity_quartile,Q1,female_p95_p50,1.0295846770067185,2415808
job_rigidity_quartile,Q1,male_top10_share,0.1437527171275888,2415808
job_rigidity_quartile,Q1,female_top10_share,0.07604384061185397,2415808
job_rigidity_quartile,Q1,male_top5_share,0.07125008777653553,2415808
job_rigidity_quartile,Q1,female_top5_share,0.03801424802260958,2415808
job_rigidity_quartile,Q2,male_p90_p10,1.8865325440716254,2415807
job_rigidity_quartile,Q2,female_p90_p10,1.85238405544739,2415807
job_rigidity_quartile,Q2,male_p95_p50,1.2771756112427548,2415807
job_rigidity_quartile,Q2,female_p95_p50,1.1580744357738268,2415807
job_rigidity_quartile,Q2,male_top10_share,0.1329662577727774,2415807
job_rigidity_quartile,Q2,female_top10_share,0.06192741555686234,2415807
job_rigidity_quartile,Q2,male_top5_share,0.06774228368817763,2415807
job_rigidity_quartile,Q2,female_top5_share,0.028301189444381716,2415807
job_rigidity_quartile,Q3,male_p90_p10,1.8416338564548673,2415807
job_rigidity_quartile,Q3,female_p90_p10,1.5466035710761128,2415807
job_rigidity_quartile,Q3,male_p95_p50,1.1909125427128595,2415807
job_rigidity_quartile,Q3,female_p95_p50,1.0719325211994524,2415807
job_rigidity_quartile,Q3,male_top10_share,0.16223632701708035,2415807
